Epoch 62/100 | Train Loss: 0.113765 | Val Loss: 0.163501 | Val Acc: 96.10%
Epoch 63/100 | Train Loss: 0.195445 | Val Loss: 0.161517 | Val Acc: 96.05%
Epoch 64/100 | Train Loss: 0.132641 | Val Loss: 0.209004 | Val Acc: 95.20%
Epoch 65/100 | Train Loss: 0.192955 | Val Loss: 0.163448 | Val Acc: 96.30%
Epoch 66/100 | Train Loss: 0.134672 | Val Loss: 0.158155 | Val Acc: 95.90%
Epoch 67/100 | Train Loss: 0.157155 | Val Loss: 0.284587 | Val Acc: 94.25%
Epoch 68/100 | Train Loss: 0.233663 | Val Loss: 0.224538 | Val Acc: 95.55%
Epoch 69/100 | Train Loss: 0.119765 | Val Loss: 0.205787 | Val Acc: 96.25%
Epoch 70/100 | Train Loss: 0.137050 | Val Loss: 0.146623 | Val Acc: 96.35%
Epoch 71/100 | Train Loss: 0.141716 | Val Loss: 0.136318 | Val Acc: 96.65%
Epoch 72/100 | Train Loss: 0.113456 | Val Loss: 0.230068 | Val Acc: 95.65%
Epoch 73/100 | Train Loss: 0.135502 | Val Loss: 0.154163 | Val Acc: 96.80%
Epoch 74/100 | Train Loss: 0.133551 | Val Loss: 0.156706 | Val Acc: 96.10%
Epoch 75/100 | Train Loss: 0.172686 | Val Loss: 0.130505 | Val Acc: 96.85%
Epoch 76/100 | Train Loss: 0.160198 | Val Loss: 0.286719 | Val Acc: 94.95%
Epoch 77/100 | Train Loss: 0.138110 | Val Loss: 0.165160 | Val Acc: 96.00%
Epoch 78/100 | Train Loss: 0.145305 | Val Loss: 0.838728 | Val Acc: 91.00%
Epoch 79/100 | Train Loss: 0.103527 | Val Loss: 0.153520 | Val Acc: 96.65%

!! Epoch 80/100 | Train Loss: 0.100397 | Val Loss: 0.180791 | Val Acc: 97.00%

Epoch 81/100 | Train Loss: 0.102494 | Val Loss: 0.190223 | Val Acc: 96.15%
Epoch 82/100 | Train Loss: 0.107013 | Val Loss: 0.218580 | Val Acc: 96.70%
Epoch 83/100 | Train Loss: 0.137480 | Val Loss: 0.166056 | Val Acc: 96.25%
Epoch 84/100 | Train Loss: 0.257190 | Val Loss: 0.182437 | Val Acc: 96.70%
Epoch 85/100 | Train Loss: 0.115915 | Val Loss: 0.348086 | Val Acc: 94.90%
Epoch 86/100 | Train Loss: 0.113634 | Val Loss: 0.192574 | Val Acc: 96.10%
Epoch 87/100 | Train Loss: 0.113314 | Val Loss: 0.202460 | Val Acc: 96.85%
Epoch 88/100 | Train Loss: 0.122431 | Val Loss: 0.234600 | Val Acc: 95.60%
Epoch 89/100 | Train Loss: 0.094294 | Val Loss: 0.203641 | Val Acc: 95.95%
Epoch 90/100 | Train Loss: 0.103573 | Val Loss: 0.190244 | Val Acc: 96.40%
Epoch 91/100 | Train Loss: 0.106549 | Val Loss: 0.179514 | Val Acc: 96.60%
Epoch 92/100 | Train Loss: 0.105084 | Val Loss: 0.531591 | Val Acc: 94.70%
Epoch 93/100 | Train Loss: 0.086246 | Val Loss: 0.181501 | Val Acc: 96.50%
Epoch 94/100 | Train Loss: 0.086410 | Val Loss: 0.179253 | Val Acc: 96.65%
Epoch 95/100 | Train Loss: 0.103884 | Val Loss: 0.148434 | Val Acc: 96.25%
Epoch 96/100 | Train Loss: 0.102674 | Val Loss: 0.205738 | Val Acc: 96.90%
Epoch 97/100 | Train Loss: 0.098066 | Val Loss: 0.247253 | Val Acc: 96.20%
Epoch 98/100 | Train Loss: 0.075292 | Val Loss: 0.209785 | Val Acc: 96.85%
Epoch 99/100 | Train Loss: 0.080536 | Val Loss: 0.235490 | Val Acc: 96.30%
Epoch 100/100 | Train Loss: 0.092481 | Val Loss: 0.289195 | Val Acc: 94.85%
